versao;tipo;cnpj;passivoTotal;periodo;ativoTotal;ativoCirc;caixa;aplicacoesFin;disponivel;contasReceber;estoques;ativoLP;passivoCirc;passivoLP;dividaBruta;dividaLiq;patLiq;receitaBruta;cmv;lucroBruto;despesasOper;lucroOper;receitasDespesasFin;impostoRenda;lair;lucroLiq;dividendosPagos;jcp;total_shares;on_shares;pn_shares;ano;trimestre
1.0;1.0;33.042.730/0001-04;69678932000;2021.1T;69678932000;29770912000;13908238000;4282151000;18190389000;4219052000;5673189000;39908020000;16545529000;35858067000;52403596000;34213207000;17275336000;11913328000;-6178784000;5734544000;1442516000;7177060000;-201507000;-1278240000.0;6975553000;5697313000;0;0;1387524047;1387524047;0;2021;1
1.0;1.0;07.859.971/0001-30;15020635000;2021.1T;15020635000;2618436000;1021839000;0;1021839000;202379000;0;12402199000;895118000;7527306000;8422424000;7400585000;6598211000;908449000;-197049000;711400000;162644000;874044000;-183098000;-135094000.0;690946000;555852000;0;0;1033496721;590714069;442782652;2021;1
3.0;1.0;53.113.791/0001-22;5435297000;2021.1T;5435297000;3090775000;1100022000;92029000;1192051000;1788166000;0;2344522000;2197870000;534739000;2732609000;1540558000;2702688000;720256000;-222540000;497716000;-369802000;127914000;-7829000;-39440000.0;120085000;80645000;0;0;617183181;617183181;0;2021;1
1.0;1.0;33.256.439/0001-39;37471194000;2021.1T;37471194000;18419414000;3933203000;3553474000;7486677000;4305518000;4491697000;19051780000;9218602000;18289951000;27508553000;20021876000;9962641000;23950284000;-22234378000;1715906000;-1143774000;572132000;-333681000;-101021000.0;238451000;137430000;0;0;1115151608;1115151608;0;2021;1
2.0;1.0;50.746.577/0001-15;76957322000;2021.1T;76957322000;17083111000;7933170000;0;7933170000;2285407000;961975000;59874211000;7925276000;47392694000;55317970000;47384800000;21639352000;4715799000;-3369867000;1345932000;-297582000;1048350000;-381911000;41824000.0;666439000;708263000;3407000;0;1874070932;1874070932;0;2021;1
1.0;1.0;16.404.287/0001-55;104526468000;2021.1T;104526468000;18659212000;5334508000;4028038000;9362546000;3692928000;3989789000;85867256000;8979194000;90982933000;99962127000;90599581000;4564341000;8889166000;-4845034000;4044132000;-437201000;3606931000;-8667121000;2304931000.0;-5060190000;-2755259000;0;0;1361263584;1361263584;0;2021;1
1.0;1.0;09.346.601/0001-25;46194195000;2021.1T;46194195000;16882731000;1536454000;14089062000;15625516000;366144000;0;29311464000;9503959000;12332966000;21836925000;6211409000;24357270000;2396704000;0;2396704000;-659977000;1736727000;-43848000;-436852000.0;1692879000;1256027000;0;232500000;6099000000;6099000000;0;2021;1
1.0;1.0;07.689.002/0001-89;58728561000;2021.1T;58728561000;33631535000;6399389000;7340265000;13739654000;1145081000;14148230000;25097026000;13732508000;29075158000;42807666000;29068012000;15920895000;4452053000;-4030870000;421183000;-599997000;-178814000;-305251000;-6977000.0;-484065000;-491042000;0;0;740465044;740465044;0;2021;1
2.0;1.0;00.001.180/0001-26;177371873000;2021.1T;177371873000;43763449000;4075886000;14361903000;18437789000;5780563000;935649000;133608424000;24497422000;79799966000;104297388000;85859599000;73074485000;8208426000;-2938607000;5269819000;-1869543000;3400276000;-583771000;-1207366000.0;2816505000;1609139000;0;0;1568930910;1288842596;280088314;2021;1
2.0;1.0;61.079.117/0001-05;4846669000;2021.1T;4846669000;2714062000;924382000;5540000;929922000;773686000;796905000;2132607000;1237745000;471583000;1709328000;779406000;3137341000;901297000;-428566000;472731000;-335578000;137153000;31176000;-33479000.0;168329000;126182000;0;0;588062222;302010689;286051533;2021;1
1.0;1.0;84.429.695/0001-11;21161200000;2021.1T;21161200000;13360912000;3387742000;484369000;3872111000;3835893000;4376561000;7800288000;6488389000;2295565000;8783954000;4911843000;12377246000;5076879000;-3457140000;1619739000;-726557000;893182000;10535000;-124796000.0;903717000;778921000;0;70961000;4197317998;4197317998;0;2021;1
1.0;1.0;08.807.432/0001-10;9642667000;2021.1T;9642667000;3067964000;1278475000;771813000;2050288000;863149000;0;6574703000;1215810000;5169816000;6385626000;4335338000;3257041000;1082328000;-456834000;625494000;-466777000;158717000;-105455000;-10037000.0;53262000;43225000;0;0;309088851;309088851;0;2021;1
1.0;1.0;97.837.181/0001-47;11223423000;2021.1T;11223423000;3979630000;1262001000;0;1262001000;1314680000;1118733000;7243793000;2360786000;3837535000;6198321000;4936320000;5025102000;1768126000;-1161687000;606439000;-317280000;289159000;-19585000;-96875000.0;269574000;172699000;0;0;760962951;760962951;0;2021;1
